Designator,Mid X,Mid Y,Rotation,Layer
C1,94.615,-71.882,0.0,top
C2,94.615,-82.296,0.0,top
C3,94.361,-93.091,0.0,top
C4,94.488,-105.029,0.0,top
J1,88.925,-77.343,0.0,top
J2,150.515,-75.58,0.0,top
J3,88.925,-96.794,0.0,top
R1,104.14,-71.882,0.0,top
R10,104.0885,-81.661,0.0,top
R11,104.0885,-80.391,0.0,top
R12,104.0885,-79.248,0.0,top
R13,104.0885,-78.105,0.0,top
R14,104.0885,-76.962,0.0,top
R15,104.0885,-76.073,0.0,top
R16,104.0885,-74.803,0.0,top
R17,104.14,-106.309574,0.0,top
R18,104.14,-94.566622,0.0,top
R19,104.14,-105.156,0.0,top
R2,104.14,-70.866,0.0,top
R20,104.14,-93.345,0.0,top
R21,104.14,-104.002429,0.0,top
R22,104.14,-102.848858,0.0,top
R23,104.14,-92.123381,0.0,top
R24,104.14,-90.901762,0.0,top
R25,104.14,-101.695287,0.0,top
R26,104.14,-100.541716,0.0,top
R27,104.14,-89.680143,0.0,top
R28,104.14,-88.458524,0.0,top
R29,104.14,-99.388145,0.0,top
R3,104.14,-69.977,0.0,top
R30,104.14,-98.234574,0.0,top
R31,104.14,-87.236905,0.0,top
R32,104.14,-86.015286,0.0,top
R4,104.14,-69.088,0.0,top
R5,104.14,-68.326,0.0,top
R6,104.14,-67.437,0.0,top
R7,104.14,-66.421,0.0,top
R8,104.14,-65.405,0.0,top
R9,104.0885,-82.931,0.0,top
U1,97.155,-68.58,180.0,top
U10,97.155,-78.867,180.0,top
U11,111.506,-82.423,0.0,top
U12,120.777,-82.423,180.0,top
U13,129.667,-82.423,0.0,top
U14,138.811,-82.423,180.0,top
U15,111.506,-77.343,0.0,top
U16,120.777,-77.343,180.0,top
U17,129.667,-77.343,0.0,top
U18,138.811,-77.343,180.0,top
U19,97.155,-89.535,180.0,top
U2,111.506,-72.136,0.0,top
U20,97.155,-101.727,180.0,top
U21,111.506,-102.997,0.0,top
U22,120.777,-102.997,180.0,top
U23,111.506,-92.964,0.0,top
U24,120.777,-92.964,180.0,top
U25,129.667,-102.997,0.0,top
U26,138.811,-102.997,180.0,top
U27,129.667,-92.964,0.0,top
U28,138.811,-92.964,180.0,top
U29,111.506,-98.044,0.0,top
U3,120.777,-72.136,180.0,top
U30,120.777,-98.044,180.0,top
U31,111.506,-87.63,0.0,top
U32,120.777,-87.63,180.0,top
U33,129.667,-98.044,0.0,top
U34,138.811,-98.044,180.0,top
U35,129.667,-87.63,0.0,top
U36,138.811,-87.63,180.0,top
U4,129.667,-72.136,0.0,top
U5,138.811,-72.136,180.0,top
U6,111.506,-67.183,0.0,top
U7,120.777,-67.183,180.0,top
U8,129.667,-67.183,0.0,top
U9,138.811,-67.183,180.0,top
